SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
BCORL1_logCR,NBN_logCR,,,,
,RUNX1T1_logCR,,,,
,MYC_logCR,,,,
,CD274_logCR,,,,
,PDCD1LG2_logCR,,,,
,PTPRD_logCR,,,,
,MLLT3_logCR,,,,
,CDKN2A_logCR,,,,
,CDKN2B_logCR,,,,
,PAX5_logCR,,,,
,GNAQ_logCR,,,,
,HNRNPK_logCR,,,,
,NTRK2_logCR,,,,
,SYK_logCR,,,,
,FANCC_logCR,,,,
,TGFBR1_logCR,,,,
,PPP6C_logCR,,,,
,ABL1_logCR,,,,
,TSC1_logCR,,,,
,NOTCH1_logCR,,,,
,EGFL7_logCR,,,,
,ZRSR2_logCR,,,,
,EIF1AX_logCR,,,,
,BCOR_logCR,,,,
,ARAF_logCR,,,,
,AMER1_logCR,,,,
,AR_logCR,,,,
,PAK3_logCR,,,,
,XIAP_logCR,,,,
,STAG2_logCR,,,,
,PHF6_logCR,,,,
